"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2016","102.90","102.81","103.11","102.55","1.22K","-0.05"
"Dec 16, 2016","102.95","103.13","103.27","102.62","13.42K","-0.10"
"Dec 15, 2016","103.05","102.48","103.56","102.16","57.74K","1.26"
"Dec 14, 2016","101.77","101.05","102.34","100.75","66.53K","0.65"
"Dec 13, 2016","101.11","100.97","101.19","100.78","36.79K","0.06"
"Dec 12, 2016","101.05","101.64","101.82","100.86","38.20K","-0.56"
"Dec 09, 2016","101.62","101.15","101.77","101.04","30.12K","0.49"
"Dec 08, 2016","101.12","100.24","101.28","99.49","75.79K","0.85"
"Dec 07, 2016","100.27","100.57","100.63","100.18","26.70K","-0.26"
"Dec 06, 2016","100.53","100.18","100.61","100.01","32.30K","0.42"
"Dec 05, 2016","100.11","101.56","101.80","99.87","80.45K","-0.74"
"Dec 02, 2016","100.86","100.95","101.17","100.70","41.18K","-0.24"
"Dec 01, 2016","101.10","101.56","101.61","100.95","35.28K","-0.43"
"Nov 30, 2016","101.54","100.98","101.88","100.92","45.37K","0.58"
"Nov 29, 2016","100.95","101.27","101.69","100.94","38.83K","-0.41"
"Nov 28, 2016","101.37","101.43","101.63","100.67","46.06K","-0.18"
"Nov 25, 2016","101.55","101.84","101.97","101.25","31.66K","-0.21"
"Nov 24, 2016","101.76","101.81","102.12","101.53","16.92K","0.00"
"Nov 23, 2016","101.76","101.11","101.96","100.96","43.01K","0.64"
"Nov 22, 2016","101.11","100.83","101.37","100.71","33.99K","0.00"
"Nov 21, 2016","101.11","101.40","101.51","100.81","41.84K","-0.17"
"Nov 18, 2016","101.28","101.07","101.54","100.89","57.29K","0.33"
"Nov 17, 2016","100.95","100.28","101.01","99.98","55.29K","0.51"
"Nov 16, 2016","100.44","100.07","100.60","99.92","43.02K","0.19"
"Nov 15, 2016","100.25","99.81","100.28","99.47","43.94K","0.13"
"Nov 14, 2016","100.12","99.14","100.24","99.10","54.25K","1.08"
"Nov 11, 2016","99.05","98.83","99.13","98.55","33.35K","0.28"
"Nov 10, 2016","98.77","98.53","99.08","98.32","39.89K","0.24"
"Nov 09, 2016","98.53","98.08","98.69","95.91","88.38K","0.68"
"Nov 08, 2016","97.86","97.79","97.99","97.56","18.01K","0.07"
"Nov 07, 2016","97.79","97.34","97.89","97.25","19.69K","0.72"
"Nov 04, 2016","97.09","97.22","97.38","96.94","18.87K","-0.11"
"Nov 03, 2016","97.20","97.44","97.48","97.07","24.23K","-0.22"
"Nov 02, 2016","97.41","97.77","97.80","97.17","27.79K","-0.30"
"Nov 01, 2016","97.70","98.39","98.46","97.62","25.45K","-0.73"
"Oct 31, 2016","98.42","98.28","98.67","98.28","13.52K","0.08"
"Oct 28, 2016","98.34","98.91","98.92","98.22","23.97K","-0.55"
"Oct 27, 2016","98.88","98.60","99.00","98.48","20.81K","0.27"
"Oct 26, 2016","98.61","98.71","98.81","98.31","22.72K","-0.07"
"Oct 25, 2016","98.68","98.75","99.09","98.58","23.46K","-0.07"
"Oct 24, 2016","98.75","98.68","98.83","98.54","15.33K","0.06"
"Oct 21, 2016","98.69","98.30","98.80","98.30","20.05K","0.39"
"Oct 20, 2016","98.31","97.89","98.40","97.66","32.38K","0.38"
"Oct 19, 2016","97.94","97.91","97.97","97.66","17.94K","0.04"
"Oct 18, 2016","97.90","97.78","97.97","97.60","16.77K","0.02"
"Oct 17, 2016","97.88","98.12","98.15","97.80","15.36K","-0.12"
"Oct 14, 2016","98.00","97.63","98.10","97.52","26.26K","0.49"
"Oct 13, 2016","97.52","98.00","98.12","97.51","28.20K","-0.45"
"Oct 12, 2016","97.96","97.52","98.05","97.47","31.66K","0.28"
"Oct 11, 2016","97.69","96.93","97.75","96.93","29.65K","0.78"
"Oct 10, 2016","96.93","96.52","96.97","96.48","16.36K","0.29"
"Oct 07, 2016","96.65","96.85","97.22","96.41","49.51K","-0.12"
"Oct 06, 2016","96.77","96.14","96.78","96.11","26.14K","0.69"
"Oct 05, 2016","96.11","96.08","96.31","95.94","23.77K","-0.01"
"Oct 04, 2016","96.12","95.67","96.39","95.66","42.19K","0.55"
"Oct 03, 2016","95.59","95.44","95.73","95.39","15.63K","0.21"
"Sep 30, 2016","95.39","95.47","95.89","95.25","32.73K","-0.08"
"Sep 29, 2016","95.47","95.31","95.62","95.25","16.75K","0.14"
